2021-06-08 12:16:55,744 INFO    MainThread:28629 [wandb_setup.py:_flush():69] setting env: {}
2021-06-08 12:16:55,745 INFO    MainThread:28629 [wandb_setup.py:_flush():69] setting login settings: {}
2021-06-08 12:16:55,745 INFO    MainThread:28629 [wandb_init.py:_log_setup():319] Logging user logs to /own_files/lanyi/objDet/wandb/run-20210608_121655-3g6hyeh2/logs/debug.log
2021-06-08 12:16:55,745 INFO    MainThread:28629 [wandb_init.py:_log_setup():320] Logging internal logs to /own_files/lanyi/objDet/wandb/run-20210608_121655-3g6hyeh2/logs/debug-internal.log
2021-06-08 12:16:55,745 INFO    MainThread:28629 [wandb_init.py:init():352] calling init triggers
2021-06-08 12:16:55,745 INFO    MainThread:28629 [wandb_init.py:init():357] wandb.init called with sweep_config: {}
config: {}
2021-06-08 12:16:55,745 INFO    MainThread:28629 [wandb_init.py:init():401] starting backend
2021-06-08 12:16:55,745 INFO    MainThread:28629 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-06-08 12:16:55,761 INFO    MainThread:28629 [backend.py:ensure_launched():123] starting backend process...
2021-06-08 12:16:55,770 INFO    MainThread:28629 [backend.py:ensure_launched():127] started backend process with pid: 28961
2021-06-08 12:16:55,772 INFO    MainThread:28629 [wandb_init.py:init():406] backend started and connected
2021-06-08 12:16:55,774 INFO    MainThread:28629 [wandb_init.py:init():446] updated telemetry
2021-06-08 12:16:55,774 INFO    MainThread:28629 [wandb_init.py:init():465] communicating current version
2021-06-08 12:16:56,554 INFO    MainThread:28629 [wandb_init.py:init():470] got version response upgrade_message: "wandb version 0.10.31 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2021-06-08 12:16:56,554 INFO    MainThread:28629 [wandb_init.py:init():478] communicating run to backend with 30 second timeout
2021-06-08 12:16:56,705 INFO    MainThread:28629 [wandb_init.py:init():503] starting run threads in backend
2021-06-08 12:16:57,072 INFO    MainThread:28629 [wandb_run.py:_console_start():1422] atexit reg
2021-06-08 12:16:57,073 INFO    MainThread:28629 [wandb_run.py:_redirect():1285] redirect: SettingsConsole.REDIRECT
2021-06-08 12:16:57,073 INFO    MainThread:28629 [wandb_run.py:_redirect():1290] Redirecting console.
2021-06-08 12:16:57,073 INFO    MainThread:28629 [redirect.py:install():213] install start
2021-06-08 12:16:57,074 INFO    MainThread:28629 [redirect.py:install():228] install stop
2021-06-08 12:16:57,074 INFO    MainThread:28629 [redirect.py:install():213] install start
2021-06-08 12:16:57,074 INFO    MainThread:28629 [redirect.py:install():228] install stop
2021-06-08 12:16:57,074 INFO    MainThread:28629 [wandb_run.py:_redirect():1336] Redirects installed.
2021-06-08 12:16:57,074 INFO    MainThread:28629 [wandb_init.py:init():527] run started, returning control to user process
